"Geography (2,3)",Age group,Sex,Indicators,"Characteristics (50,51,52,53,54,71,84,87)",2013
"Central Health Integration Network, Ontario [3508] ","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,2.9
"Central East Health Integration Network, Ontario [3509] ","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,88.9
"Central East Health Integration Network, Ontario [3509] ","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,20.2
"Central East Health Integration Network, Ontario [3509] ","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,5.7
"Central East Health Integration Network, Ontario [3509] ","Total, 12 years and over",Both sexes,Asthma (24),Percent,8
"Central East Health Integration Network, Ontario [3509] ","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,18.5
"Central East Health Integration Network, Ontario [3509] ","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,15.8
"Central East Health Integration Network, Ontario [3509] ","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,14.2
"Central East Health Integration Network, Ontario [3509] ","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,35.7
"Central East Health Integration Network, Ontario [3509] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,52
"Central East Health Integration Network, Ontario [3509] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,48
"Central East Health Integration Network, Ontario [3509] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,50.9
"Central East Health Integration Network, Ontario [3509] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,25.7
"Central East Health Integration Network, Ontario [3509] ","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,66.5
"Central East Health Integration Network, Ontario [3509] ","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,92.8
"Central East Health Integration Network, Ontario [3509] ","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,78.9
"Central East Health Integration Network, Ontario [3509] ","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,29.4
"Central East Health Integration Network, Ontario [3509] ","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,9.1
"Central East Health Integration Network, Ontario [3509] ","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,36.7
"Central East Health Integration Network, Ontario [3509] ","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,12.7
"Central East Health Integration Network, Ontario [3509] ","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,4.1
"South East Health Integration Network, Ontario [3510] ","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,92.4
"South East Health Integration Network, Ontario [3510] ","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,25.7
"South East Health Integration Network, Ontario [3510] ","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,9.2
"South East Health Integration Network, Ontario [3510] ","Total, 12 years and over",Both sexes,Asthma (24),Percent,8.7
"South East Health Integration Network, Ontario [3510] ","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,23.1
"South East Health Integration Network, Ontario [3510] ","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,21
"South East Health Integration Network, Ontario [3510] ","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,18.7
"South East Health Integration Network, Ontario [3510] ","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,41.8
"South East Health Integration Network, Ontario [3510] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,55.1
"South East Health Integration Network, Ontario [3510] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,44.9
"South East Health Integration Network, Ontario [3510] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,60
"South East Health Integration Network, Ontario [3510] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,21.3
"South East Health Integration Network, Ontario [3510] ","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,71.7
"South East Health Integration Network, Ontario [3510] ","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,95
"South East Health Integration Network, Ontario [3510] ","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,78
"South East Health Integration Network, Ontario [3510] ","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,40.5
"South East Health Integration Network, Ontario [3510] ","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,11.9
"South East Health Integration Network, Ontario [3510] ","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,42
"South East Health Integration Network, Ontario [3510] ","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,15.3
"South East Health Integration Network, Ontario [3510] ","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,5.7
"Champlain Health Integration Network, Ontario [3511] ","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,91.7
"Champlain Health Integration Network, Ontario [3511] ","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,16
"Champlain Health Integration Network, Ontario [3511] ","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,5.6
"Champlain Health Integration Network, Ontario [3511] ","Total, 12 years and over",Both sexes,Asthma (24),Percent,8.9
"Champlain Health Integration Network, Ontario [3511] ","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,14.7
"Champlain Health Integration Network, Ontario [3511] ","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,16.9
"Champlain Health Integration Network, Ontario [3511] ","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,17.7
"Champlain Health Integration Network, Ontario [3511] ","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,40.7
"Champlain Health Integration Network, Ontario [3511] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,57.2
"Champlain Health Integration Network, Ontario [3511] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,42.8
"Champlain Health Integration Network, Ontario [3511] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,50.4
"Champlain Health Integration Network, Ontario [3511] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,19.8
"Champlain Health Integration Network, Ontario [3511] ","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,65.2
"Champlain Health Integration Network, Ontario [3511] ","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,88.1
"Champlain Health Integration Network, Ontario [3511] ","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,80.9
"Champlain Health Integration Network, Ontario [3511] ","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,35
"Champlain Health Integration Network, Ontario [3511] ","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,9.3
"Champlain Health Integration Network, Ontario [3511] ","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,47
"Champlain Health Integration Network, Ontario [3511] ","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,18.3
"Champlain Health Integration Network, Ontario [3511] ","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,3.9
"North Simcoe Muskoka Health Integration Network, Ontario [3512] ","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,88.5
"North Simcoe Muskoka Health Integration Network, Ontario [3512] ","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,21.3
"North Simcoe Muskoka Health Integration Network, Ontario [3512] ","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,6.6
"North Simcoe Muskoka Health Integration Network, Ontario [3512] ","Total, 12 years and over",Both sexes,Asthma (24),Percent,8.1
"North Simcoe Muskoka Health Integration Network, Ontario [3512] ","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,24.5
"North Simcoe Muskoka Health Integration Network, Ontario [3512] ","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,22.4
"North Simcoe Muskoka Health Integration Network, Ontario [3512] ","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,21.9
"North Simcoe Muskoka Health Integration Network, Ontario [3512] ","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,36.3
"North Simcoe Muskoka Health Integration Network, Ontario [3512] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,58.3
"North Simcoe Muskoka Health Integration Network, Ontario [3512] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,41.7
"North Simcoe Muskoka Health Integration Network, Ontario [3512] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,54.8
"North Simcoe Muskoka Health Integration Network, Ontario [3512] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,23.5
"North Simcoe Muskoka Health Integration Network, Ontario [3512] ","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,65.7
"North Simcoe Muskoka Health Integration Network, Ontario [3512] ","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,93.6
"North Simcoe Muskoka Health Integration Network, Ontario [3512] ","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,76.4
"North Simcoe Muskoka Health Integration Network, Ontario [3512] ","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,32.6
"North Simcoe Muskoka Health Integration Network, Ontario [3512] ","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,11.1
"North Simcoe Muskoka Health Integration Network, Ontario [3512] ","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,34.7
"North Simcoe Muskoka Health Integration Network, Ontario [3512] ","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,20.2
